URL,Coin,Symbol,Market
aworker.io,,AWE,Identity Protection/Privacy/Reputation
play2live.io,,LUC,"Virtual Reality,Gaming Currencies"
healthureum.io,,HHEM,Drugs & Healthcare
gohelpfund.com,,HELP,Crowdfunding/Crowdsourcing
blockhive.ee,,FLAT,Investment and Trading
sudangm.com,,SGC,Mining and Staking
fundfantasy.io,,FUNDZ,Gaming Currencies
jolyy.com,,JOY,Decentralized Exchanges
bitcar.io,,BITCAR,Transportation/Logistics/Supply Chain
doc-coin.com,,DOC,Drugs & Healthcare
watertotheworld.io,,W2TW,Environmental Preservation/Ecology
xmoneta.com,,XMN,"Messaging,Communications/Mobile"
bitrace-token.com,,BRF,Sports
realcasino.io,,CHIP,Gambling
theforgenetwork.com,,FRG,Cryptocurrency
simdaq.com,,SMDQ,Investment and Trading
io.sqirt.cam,,SQR,Adult Entertainment
vestopia.io,,VTP,Financial Services
gymcoins.io,,GYM,Drugs & Healthcare
smartgold.so,,SGT,Currency: Stable/Pegged
whs-coin.com,,WHS,Events & Entertainment
auto-club.io,,ATK,Decentralized Marketplace/Commerce
blockport.io,,BPT,Gambling
serenity-financial.io,,SERENITY,Investment and Trading
crowd-up.co,,CDU,Crowdfunding/Crowdsourcing
plancoin.co,,PLAN,Cryptocurrency
fynance.io,,FYG,Financial Services
dropil.com,,DROP,Investment and Trading
lwf.io,,LWF,Transportation/Logistics/Supply Chain
lympo.io,,LYM,Drugs & Healthcare
cargox.io,,CXO,Investment and Trading
pressco.io,,PRE,Decentralized Marketplace/Commerce
krow.network,,KRW,HR and Job Market
adverx.co,,AVX,Ad Tech
cibus.world,,CBT,
fcfl.io,,FAN,Sports
mark.space,,MRK,"Platform,Internet and Infrastructure"
dadi.cloud,,DADI,Sharing Economy: Data Storage
blitzpredict.io,,BPZ,Prediction Market Platforms
ink.plus,,XNK,DAOs
benebit.io,,BNE,eSports
crafty.work,,CFTY,HR and Job Market
paywithink.com,,XNK,DAOs
streamity.org,,STM,Investment and Trading
laboproj.io,,LABO,Platform
mevu.bet,,MEVU,"Sports,DAOs,Gaming Currencies"
mokenex.com,,MOKN,"Platform,Cryptocurrency"
e-pocket.com.au,,EPT,Events & Entertainment
cashbag.co,,CBC,Gambling
cryptoneumcoin.co,,CRP,"AI,Prediction Market Platforms"
alfatoken.com,,ALFA,DAOs
cryptotrust.network,,CTN,Identity Protection/Privacy/Reputation
bitcoinus.io,,BIS,Payments
cryptostarter.io,,CST,Platform
ocoin.sg,,OCN,DAOs
stopthefakes.io,,STF,Anti-Counterfeiting
pundix.com,,PXS,DAOs
devery.io,,EVE,Registration and Authenticity
egold.gg,,EGL,Gambling
tokensale.shping.com,,SHPING,Retail
gelios.io,,GLS,Financial Services
clickabletv.io,,CTV,Media/News/Content
keyrpto.com,,KYT,"Business Services,Retail"
finecoin.io,,FINE,Cryptocurrency
showmebiz.io,,ExpoCoin,Platform
blockbits.io,,BBX,"Crowdfunding/Crowdsourcing,Investment and Trading"
fittoken.co,,FIT,Sports
hedgeconnect.co,,HC,Financial Services
flashmoni.io,,OZT,"Platform,Internet and Infrastructure"
highrewardcoin.io,,HRC,Investment and Trading
orbistransfer.com,,ORBIS,Payment Systems
stockchainglobal.com,,STC,Investment and Trading
coinpoker.com,,CHP,Adult Entertainment
coinnec.com,,COI,Transaction Fees
vooglue.io,,VGC,"DAOs,Media/News/Content"
vaultbank.io,,VB,Financial Services
ico.fluzfluz.com,,FLUZ,Cryptocurrency
cln.colu.com,,CLN,Retail
graft.network,,GRF,Platform
bluzelle.com,,BLZ,Sharing Economy: Data Storage
vinnd.io,,VIN,Registration and Authenticity
zeepin.io,,ZPT,"Investment and Trading,HR and Job Market,Crowdfunding/Crowdsourcing"
factury.co,,FIC,Financial Services
cryptokafe.io,,CNK,Decentralized Marketplace/Commerce
smartrefer.io,,REF,AI
tzero.com,,tZERO,"Financial Services,Investment and Trading"
dopamine.ai,,DOPA,AI
pagarex.com,,PGX,Financial Services
ico.theworldnews.net,,TWN,Social Media
4new.io,,FRNC,Energy and Utilities
blocklancer.net,,LNC,HR and Job Market
getbabb.com,,BAX,"Enterprise Apps,Financial Services"
kudosproject.com,,KUDOS,Transportation/Logistics/Supply Chain
tokenloyalty.io,,LOYAL,Rewards Programs
valhallacoin.com,,VHL,Crowdfunding/Crowdsourcing
insurepal.io,,IPL,Insurance
cederis.io,,ISP,"Platform,Internet and Infrastructure"
bitto.tech,,BITTO,Financial Services
ourdax.com,,AAC,Digital Asset
ico.nareigus.com,,HCT,Real Estate
fciskynet.com,,FCI,DAOs
matrixchain.io,,MATRIX,AI
ebcoin.io,,EBC,Cryptocurrency
dogezer.com,,DGZ,"Platform,Software Development"
sofin.io,,SOFIN,Financial Services
payfrit.com,,PYT,Professional Services
ico.ratedate.net,,RDT,Events & Entertainment
igniteratings.com,,IGNT,Investment and Trading
livestars.io,,LIVE,Events & Entertainment
globetrottercoin.com,,GTT,Cryptocurrency
darico.io,,DRC,Asset Tokenization
token.selfkey.org,,KEY,Identity Protection/Privacy/Reputation
sale.coinfi.com,,COF,Data
thekey.vip,,TKY,Platform
socialx.network,,SOCX,Events & Entertainment
budbo.io,,BUBO,Drugs & Healthcare
restartenergy.io,,MWAT,Energy and Utilities
gilgameshplatform.com,,GIL,Education
en.cryogen.me,,CRYO,Drugs & Healthcare
mobilink.io,,MOBI,Communications/Mobile
crowdcoinage.com,,CCOS,Internet and Infrastructure
stream.space,,SSH,Events & Entertainment
pocketinns.io,,PINNS,"HR and Job Market,Decentralized Marketplace/Commerce,Internet and Infrastructure"
origintrail.io,,TRAC,Transportation/Logistics/Supply Chain
makesmart.city,,SCT,Platform
sintec.io,,SINTS,Asset Tokenization
parkgene.io,,GENE,"Real Estate,Internet and Infrastructure,Software Development"
bmarkt.io,,BMK,Decentralized Marketplace/Commerce
incremint.io,,MINT,"Legal,DAOs,Investment and Trading"
let.bet,,LBT,Gambling
wishknish.com,,Knish,Insurance
electrify.asia,,ELEC,Energy and Utilities
democracy.earth,,VOTE,DAOs
machtcoin.co,,MCH,Platform
ligercoin.com,,LIC,Gambling
pegasuscrypto.com,,PEG,Environmental Preservation/Ecology
sisutoken.io,,SSU,Financial Services
spacekim.io,,KIM,
domanisystems.com,,DSI,Software Development
pinnacle-brilliance.com,,BRILL,Investment and Trading
safekeet.io,,SKT,"Platform,Internet and Infrastructure"
ironblock.io,,IRB,Decentralized Marketplace/Commerce
glx.com,,GLXC,Financial Services
unityco.in,,UNT,Marketing & Social Influencer
ico.ru-coin.com,,RUC,Cryptocurrency
elementh.io,,EEE,Platform
firelotto.io,,FLOT,Gambling
botgaming.me,,BOT,Gambling
honor.appjubs.com,,HONR,HR and Job Market
imigize.io,,IMGZ,Retail
newera.energy,,NERA,Energy and Utilities
boosteroid.com,,BTR,Big Data
niobiumcoin.io,,NBC,Investment and Trading
moriatoken.com,,MOR,Investment and Trading
varcrypt.io,,VAR,Virtual Reality
digitexfutures.com,,DGTX,"DAOs,Software Development"
cylinders.io,,CCA,Energy and Utilities
nodepower.io,,NODE,Energy and Utilities
podone.io,,,Virtual Reality
firelotto.io,,FLOT,Gambling
ico.midex.com,,TM-MDX,Decentralized Exchanges
education-ecosystem.com,,EDU,Education
restartenergy.io,,MWAT,Energy and Utilities
scorumcoins.com,,SCR,"Sports,Events & Entertainment"
hicky.io,,HKY,Platform
globcoin.io,,GCP,Digital Asset
globo.in,,GLBX,Cryptocurrency
pingvalue.io,,PCO,"Platform,Investment and Trading"
alphacoin.me,,Alpha,Investment and Trading
ori.network,,ORI,Decentralized Marketplace/Commerce
cryptoverse.rocks,,CVS,"Smart Contract,Ad Tech"
ico.savedroid.com,,SVD,"AI,Financial Services,Investment and Trading"
fidelium.io,,FID,"Financial Services,Investment and Trading"
coinfer.io,,CNF,"Manufacturing,Cryptocurrency"
nper.io,,NPER,"Legal,Platform,Cryptocurrency,DAOs"
bitloanex.com,,BTLX,Financial Services
allsportschain.com,,SOC,Sports
stowittoken.com,,STOW,Sharing Economy: Other
elpisinvestments.com,,ELP,Investment and Trading
bcshop.io,,BSC,Decentralized Exchanges
atfslab.io,,ATFS,Crowdfunding/Crowdsourcing
oilsc.io,,OILSC,Energy and Utilities
bithubhq.com,,BHT,Investment and Trading
realescoin.io,,RLS,Currency: Stable/Pegged
ethorse.com,,HORSE,Gambling
astorgame.com,,ASTOR,"eSports,Gambling"
snagride.com,,MILE,Sharing Economy: Other
token.sureremit.co,,RMT,Retail
unilot.io,,UNIT,Gambling
ico.jizzcoins.com,,JCN,Adult Entertainment
ens.bid,,ESB,"Big Data,Business Services,Communications/Mobile,Internet and Infrastructure"
deex.exchange,,DEEX,Investment and Trading
ethersportz.com,,ESZ,Events & Entertainment
theabyss.com,,ABYSS,Gaming Currencies
loopx.io,,LPX,Cryptocurrency
grondigital.com,,GRO,Gambling
gamex.co.in,,GX,"Events & Entertainment,Cryptocurrency,Software Development"
payproapp.com,,PYP,Financial Services
thetatoken.org,,THETA,DAOs
krios.io,,KRI,Marketing & Social Influencer
ico.tefoodint.com,,TEC,Blockchain Service
ficnetwork.com,,eFIC,Internet and Infrastructure
tokenomy.com,,TEN,"Platform,Cryptocurrency,Internet and Infrastructure,Investment and Trading"
gizadevice.com,,GIZA,Payment Systems
utemis.com,,UTS,Decentralized Marketplace/Commerce
blockfood.io,,BFT,Investment and Trading
phoneum.io,,PHM,Social Media
valuecash.com,,XVL,Decentralized Marketplace/Commerce
outing-app.com,,OTG,Events & Entertainment
korbex.cc,,KBX,Investment and Trading
hybridbetting.com,,HYB,Investment and Trading
axpire.io,,AXP,Payment Systems
elcoin.io,,ELC,"Manufacturing,Platform, Drugs & Healthcare"
robin8put.org,,PUT,"AI,Big Data"
stealthcrypto.io,,QMN,Currency: Anonymous
sp8de.com,,SPX,Decentralized Exchanges
neuromation.io,,NEUROTOKEN,Platform
transcodium.com,,TNS,"Internet and Infrastructure,Business Services"
coinstarter.com,,STC,Investment and Trading
ico.beesocials.com,,BEE,Media/News/Content
lalaworld.io,,LALA,Financial Services
etheal.com,,HEAL,"Platform, Drugs & Healthcare"
minersatwork.com,,GNI,Mining and Staking
apex.chinapex.com,,CPX,Decentralized Marketplace/Commerce
crypto-patriot.io,,PPMT,Cryptosecurity
ico.upline.solutions,,UPL,Marketing & Social Influencer
ehfirst.io,,EHF,Drugs & Healthcare
moonlite.io,,MNL,Investment and Trading
gojitree.io,,GOJI,Travel and Tourism
blockarray.com,,ARY,Transportation/Logistics/Supply Chain
x8currency.com,,x8x,Currency: Stable/Pegged
renteum.org,,RTM,Real Estate
decentralized.id,,DID,"Platform,DAOs,Internet and Infrastructure,Software Development"
tru.ltd,,TRU,"Platform,DAOs,Internet and Infrastructure,Software Development"
ico.aida.market,,AID,Decentralized Exchanges
preico-twex.info,,TWEX,"Platform,Cryptocurrency,Investment and Trading"
hashtoken.net,,HashtokenNET,"Cryptocurrency,Investment and Trading"
evareium.io,,EVM,"Real Estate,Financial Services,Investment and Trading"
fintechbit.io,,FTB,Investment and Trading
estatex.net,,STX,Real Estate
alchemybyte.com,,ALV,Investment and Trading
thebeetoken.com,,BEE,Media/News/Content
chatello.com,,CHA,Adult Entertainment
flogmall.com,,MLC,Platform
tokensale.moozicore.com,,MZI,Events & Entertainment
rigoblock.com,,GRG,Financial Services
cverification.com,,CVER,Registration and Authenticity
liblob.com,,BMR,Travel and Tourism
beefcoin.org,,BEEF,Agriculture
ico.saifu.ai,,SAIFU,Financial Services
redcha.in,,RCH,Gambling
xwin.io,,XWIN,Gambling
synthestech.com,,STT,Asset Tokenization
youra.io,,YRC,Payment Systems
ofid.io,,OFT,Business Services
ico.ezpos.io,,EZT,Platform
rankcoin.name,,Rank,Social Media
cryptohawk.com,,HAWK,Financial Services
tutellus.io,,TUT,Education
bitminutes.com,,BTM,Currency: Reserve
podone.io,,,Virtual Reality
femaletoken.org,,FEM,Platform
nvb.digital,,NVB,Media/News/Content
futereum.org,,FUTR,Financial Services
decoin.me,,DCI,Gambling
ico.cryptoibet.com,,IBET,Gaming Currencies
rotharium.io,,RTH,Big Data
ratei.co,,STR,Platform
bulleon.io,,BLN,Investment and Trading
successlife.com,,SC,Education
hydrocoin.org,,HYC,Internet and Infrastructure
ravelous.com,,RAVE,Payment Systems
ccrb.io,,CCRB,Payment Systems
canabio.net,,CNB,Drugs & Healthcare
btric.org,,BFD,Crowdfunding/Crowdsourcing
priorityex.io,,PYX,Investment and Trading
ico.ipstock.com,,IPS,"Virtual Reality,DAOs,Internet and Infrastructure"
maxbullcoin.com,,MBULL,Gambling
smartrealty.io,,RLTY,Real Estate
supporterinc.io,,SPT,Crowdfunding/Crowdsourcing
algorand.com,,,Virtual Reality
darenta.io,,PROD,Sharing Economy: Other
bitether.co,,BTT,Financial Services
keep.pet,,PET,"Platform,Software Development"
bottos.org,,BTO,Internet and Infrastructure
alphabit.co,,LPH,Social Media
tokit.io,,VNT,Events & Entertainment
mobilecoin.com,,MOB,Investment and Trading
snapcity.io,,SNPT,Travel and Tourism
rcfund.org,,RCT,Identity Protection/Privacy/Reputation
freelancercoin.io,,LAN,Platform
puffscoin.com,,PUF,Marketing & Social Influencer
hellomimic.com,,MIM,"Events & Entertainment,Software Development"
ai-banks.com,,LA,Financial Services
thepentacoin.com,,PNT,Cryptocurrency
zilliqa.com,,ZIL,DAOs
bitmart.com,,BMX,Investment and Trading
nilecoin.org,,NIL,Investment and Trading
nimbustoken.com,,NIM,DAOs
bitglare.com,,BGC,Financial Services
carvertical.com,,CV,Decentralized Marketplace/Commerce
blockarray.com,,ARY,Transportation/Logistics/Supply Chain
arcona.io,,AR,Digital Asset
ewaiter.io,,WTR,Travel and Tourism
volinex.com,,VNX,Financial Services
dencity.life,,DNX,Virtual Reality
networkunits.io,,NU,Platform
exindex.io,,EXD,Investment and Trading
ethace.co,,ETA,Gambling
playbets.io,,PLT,Gambling
horizoncomm.co,,HRZN,Internet and Infrastructure
buron.io,,BURC,Financial Services
cryptomouses.world,,CMW,Sharing Economy: Other
emcoin.io,,EMC,Investment and Trading
moonfunding.com,,MF,Crowdfunding/Crowdsourcing
bezop.io,,BEZ,Decentralized Exchanges
majato.io,,MJT,Manufacturing
startaround.co,,SAT,"Events & Entertainment,Retail,Internet and Infrastructure"
gpower.network,,GRP,Energy and Utilities
ecomcash.io,,ECOMCASH,Financial Services
charityspace.net,,charitySPACE,"Communications/Mobile,Crowdfunding/Crowdsourcing"
kineticunion.io,,KNTU,Gaming Currencies
tokenstars.com,,,Virtual Reality
coinlion.com,,LION,"Financial Services,Investment and Trading"
data-trading.com,,DTT,Gaming Currencies
skychain.global,,SCH,Internet and Infrastructure
3d-token.com,,3DT,"Crowdfunding/Crowdsourcing,Decentralized Marketplace/Commerce"
rangercoin.co,,RAG,Financial Services
smartnode.org,,NODE,Energy and Utilities
bitfinite.co,,BFC,Investment and Trading
rev-coin.biz,,REC,Sharing Economy: Other
peculium.io,,PCL,"Cryptocurrency,Software Development"
aston.company,,ATC,Financial Services
solareum.club,,SLRM,Energy and Utilities
pm7.com,,PM7,Platform
minerdog.net,,MDC,Mining and Staking
clickle.de,,CLICK,Software Development
biometrids.io,,IDS,Registration and Authenticity
trakinvest.ai,,TRAK,Investment and Trading
bitroad.io,,BTD,"Payment Systems,Investment and Trading"
token.arnagenomics.com,,ARNA,Drugs & Healthcare
gatcoin.io,,GAT,Marketing & Social Influencer
ico.bitcomo.com,,BM,Investment and Trading
measurable.net,,MDT,Data
fortknoxster.com,,FKX,Communications/Mobile
movementapp.io,,MOVE,"Sports,Events & Entertainment, Drugs & Healthcare"
singularitynet.io,,AGI,AI
token.breadapp.com,,BRD,Rewards Programs
coinmetro.com,,XCM,Decentralized Exchanges
sphere.social,,SAT,"Events & Entertainment,Retail,Internet and Infrastructure"
yourblock.io,,YBK,Sharing Economy: Data Storage
wikibits.io,,Wiki,"Computing,AI,Data"
akrocoin.com,,AKR,"Financial Services,Mining and Staking"
handelion.io,,HION,Investment and Trading
kcash.com,,KCASH,Investment and Trading
paynext.io,,PET,"Platform,Software Development"
spotmecoin.com,,SPOT,Currency: Reserve
acoin.ample-cosplay.com,,ACO,Media/News/Content
swishcoin.com,,Swishcoin,Financial Services
boon.vc,,BOON,Decentralized Marketplace/Commerce
ititaniumcoin.com,,ITC,Investment and Trading
betterbetting.org,,BETR,Gambling
xgold.lu,,XGC,Investment and Trading
superpay.vip,,SPV,Payment Systems
mykrops.com,,KRO,Energy and Utilities
augmate.io,,MATE,"Data,Internet and Infrastructure"
wishcoin.io,,WISH,Cryptocurrency
verify.as,,CRED,Identity Protection/Privacy/Reputation
adbank.network,,ADH,AI
gifto.io,,GIFTO,Decentralized Marketplace/Commerce
mytracknet.com,,MTN,Decentralized Marketplace/Commerce
travelflex.org,,TRF,Transportation/Logistics/Supply Chain
starsgroup.io,,STARS,Events & Entertainment
adamant.im,,ADM,"Messaging,Payment Systems"
ico.propify.online,,PFY,Real Estate
lendoit.com,,LOAN,Financial Services
gpcc.io,,GPCCT,Professional Services
ficoin.tech,,FIC,Financial Services
foodcoin.io,,FDC,Decentralized Marketplace/Commerce
insights.network,,INS,DAOs
aiabtc.com,,AIA,"Enterprise Apps,AI,IoT"
sirinlabs.com,,SRN,Communications/Mobile
qilin.market,,QILIN,Retail
amlt.coinfirm.io,,AMLT,Financial Services
crycash.io,,CRC,Gaming Currencies
torqall.com,,TOR,Social Media
sooloox.com,,CAK,AI
mdl.life,,MDL,Professional Services
obizcoin.io,,OBZ,Professional Services
herdius.com,,HER,"Internet and Infrastructure,Software Development"
novablitz.com,,NVT,Registration and Authenticity
popultrade.com,,PCP,"Business Services,Investment and Trading,Retail,Manufacturing"
scrinium.ai,,SCR,"Sports,Events & Entertainment"
momsavenue.com,,M.O.M,"Education,Communications/Mobile"
telco.in,,TEL,Communications/Mobile
loyalcoin.io,,LYL,Retail
viabet.io,,XVIA,Gambling
sharpay.io,,SHRP,Communications/Mobile
alttex.io,,AltX,"Investment and Trading,Software Development"
fintab.io,,FNT,Financial Services
rothscoin.io,,RTC,Real Estate
iconiqlab.com,,ICNQ,Cryptocurrency
gazecoin.io,,GZE,Virtual Reality
coinhealth.io,,COINHEALTH,"Rewards Programs, Drugs & Healthcare"
deepbrainchain.org,,DBC,AI
travelchain.io,,TT,Financial Services
symmetry.fund,,SYMM,Investment and Trading
stokit.io,,STO,Social Media
corvuscoin.io,,CRVS,Digital Asset
copytrack.io,,CPY,"Anti-Counterfeiting,Ad Tech"
librium.com,,EQL,Platform
spectivvr.com,,SIG,"Virtual Reality,Gaming Currencies"
locipro.com,,LOCI,DAOs
tigereum.io,,TIG,"Cryptocurrency,Software Development"
vectorexchange.io,,VCTR,Platform
luvenmed.io,,LVN,Drugs & Healthcare
digitcoin.world,,DIGIT,Cryptocurrency
zmine.com,,ZMN,Mining and Staking
ico-scoin.com,,7SNC,Digital Asset
raison.ai,,RSN,"Financial Services,Investment and Trading"
biofactorycoin.com,,BFC,Investment and Trading
tokenpay.com,,TPAY,Cryptocurrency
eristica.com,,ERT,Internet and Infrastructure
algory.io,,ALG,Investment and Trading
retainly.co,,RETN,Rewards Programs
debitum.network,,DEB,Financial Services
fortituderanch.com,,FR,Legal
bulltoken.tech,,BULL,Financial Services
mithrilore.io,,MORE,Decentralized Marketplace/Commerce
hmstr.io,,HMT,Investment and Trading
daxbase.io,,DXBT,"Financial Services,Investment and Trading"
bitcaptera.io,,BITCAP,Investment and Trading
cryptobnb.io,,CKey,"Real Estate,Travel and Tourism"
gif.network,,GIF,Gambling
araneobit.io,,Araneobit,Digital Asset
cybertrust.io,,CABS,Financial Services
ico.rentberry.com,,BERRY,Real Estate
artex.global,,ARX,Digital Asset
betbox.ai,,BETX,Gambling
rexpax.com,,REXX,"Events & Entertainment,Communications/Mobile"
sophiatx.com,,SPHTX,Blockchain Service
premiumtrade.info,,TIO,Investment and Trading
miningnow.online,,MNW,Mining and Staking
dubercoin.com,,DBR,Retail
vvtokens.com,,VV,Cryptocurrency
fundcru.com,,FUND,Investment and Trading
digitalescrowservices.com,,BLT,Financial Services
realland.io,,RLD,Real Estate
ins.world,,INS,DAOs
ico.galactikka.com,,GALA,Communications/Mobile
bazista.io,,BZS,Retail
gameflip.com,,FLP,Gaming Currencies
sether.io,,SETH,"Platform,Communications/Mobile"
viola.ai,,VOILA,Professional Services
fastinvest.com,,FIT,Sports
tokia.io,,TOK,Financial Services
betexlab.com,,BETEX,Investment and Trading
potentiam.io,,PTK,Social Media
monartis.com,,MNT,Payment Systems
acomobase.com,,ACO,Media/News/Content
inriddim.com,,IRDM,Cryptocurrency
auroradao.com,,AURA,Financial Services
fantasymarket.com,,FMT,Gaming Currencies
cryptopus.co,,CPP,Decentralized Marketplace/Commerce
digigold.ph,,DGG,Payment Systems
vyral.network,,SHARE,Network
elastos.org,,ELA,DAOs
ethereumetal.com,,ETM,Cryptocurrency
amorcoin.org,,AMOR,Social Media
odmcoin.com,,ODMC,Energy and Utilities
tokensale.getwala.com,,DALA,Financial Services
ico.jincor.com,,JCR,Cryptocurrency
nitro.live,,NOX,Gaming Currencies
leap.gg,,LEAP,Sports
hade.io,,HADE,Cryptocurrency
ico.enjoy-life.world,,ENJL,"Financial Services,Investment and Trading"
familypoints.io,,FPT,Retail
ico.connectjob.io,,CJT,HR and Job Market
vionex.io,,VIOX,IoT
bitdegree.org,,BDG,Education
zabercoin.io,,ZAB,Cryptocurrency
gmt.network,,GMT,Investment and Trading
bounty0x.io,,BNTY,Decentralized Marketplace/Commerce
bitrent.io,,RNT,Real Estate
envion.org,,EVN,"Energy and Utilities,Internet and Infrastructure"
stampify.me,,STAMP,Professional Services
goldea.io,,GEA,Asset Tokenization
plmico.com,,PLM,Manufacturing
balehubucks.com,,BBT,Rewards Programs
luckytoken.io,,LTK,Investment and Trading
cycloshieldcoin.com,,CYS,Rewards Programs
climatecoin.io,,CO2,"Environmental Preservation/Ecology,Energy and Utilities"
truedonate.io,,TDN,Crowdfunding/Crowdsourcing
nagaico.com,,NGC,Financial Services
tactoken.io,,TAC,Ad Tech
blockchaintradedfunds.com,,BTF,Investment and Trading
nebulas.io,,NAS,DAOs
cryptoimprovementfund.io,,CIF,Platform
cubeint.io,,CUB,Transportation/Logistics/Supply Chain
pryze.com,,PRYZ,Events & Entertainment
loanorlease.com,,LOL,Financial Services
ico.mcpay.pro,,MCPT,Cryptocurrency
joytoken.io,,JOY,Decentralized Exchanges
assetbase.io,,PDT,DAOs
cromhub.com,,CROM,Ad Tech
stampsplatform.com,,STAMP,Professional Services
africunia.com,,AFCASH,Financial Services
archicoin.io,,ARCHI,Digital Asset
reipex.com,,RPX,Security and Protection
tbis.io,,BAR,Internet and Infrastructure
silvarcoin.com,,SIL,Internet and Infrastructure
tokensale.gizer.io,,GZR,"Virtual Reality,Gaming Currencies"
zenprotocol.com,,ZEN,DAOs
madnetwork.io,,MAD,Social Media
hellobloom.io,,BLT,Financial Services
zipperglobal.com,,ZIP,Communications/Mobile
whiterabbit.one,,WRT,Social Media
econan.io,,ENAN,Internet and Infrastructure
bitclave.com,,CAT,DAOs
karma.red,,KRMP,Platform
razoom.org,,RZM,"Platform,DAOs"
ico.izx.io,,IZX,Gaming Currencies
kyc.legal,,KYC,Registration and Authenticity
mdk.is,,MDK,Platform
bananacoin.io,,BCO,Agriculture
tokensale.nau.io,,NAU,"Retail,Decentralized Marketplace/Commerce"
healthmonitor.io,,HLC,Drugs & Healthcare
artisturba.com,,ARTIS,Digital Asset
almbank.io,,AALM,HR and Job Market
datecoin.io,,DTC,Social Media
descrow.com,,DEST,Platform
tokensale.fintechfans.com,,FINC,Platform
beeqb.com,,BEQB,Decentralized Exchanges
honestis.network,,HNT,Internet and Infrastructure
ico.storiqa.com,,STQ,Decentralized Marketplace/Commerce
bankex.com,,BKX,Financial Services
commerceblock.com,,CBT,
tokens.authenticid.co,,ATHAU,Anti-Counterfeiting
latium.org,,LATX,Decentralized Marketplace/Commerce
en.modultrade.io,,MTRC,Investment and Trading
spicevc.com,,SPX,Decentralized Exchanges
foreground.io,,DEAL,"Decentralized Marketplace/Commerce,HR and Job Market"
caviar.io,,CAV,Real Estate
ico.immortalcoin.world,,IMO,Crowdfunding/Crowdsourcing
ico.salpay.com,,SAL,Cryptocurrency
wacoin.io,,WABI,DAOs
inoovi.io,,IVI,Sports
revoil.io,,RVL,"Platform,Cryptocurrency,Investment and Trading"
bitcoen.io,,BEN,Social Media
bankera.com,,BNK,Financial Services
jibrel.network,,JNT,"Financial Services,Investment and Trading"
hdac.io,,HDAC,DAOs
sola.foundation,,SOL,Social Media
cottagecoin.io,,CTG,"Real Estate,Digital Asset"
angelinvestors.io,,ANGEL,AI
medibloc.org,,MED,Drugs & Healthcare
vlb.io,,VLB,Transportation/Logistics/Supply Chain
doft.com,,DFC,Transportation/Logistics/Supply Chain
hoqu.io,,HQX,Marketing & Social Influencer
tge.synthiumhealth.com,,SHP,Drugs & Healthcare
kstarlive.com,,KSC,Cryptocurrency
originalmy.com,,ABC,Registration and Authenticity
cryptaur.com,,CPT,Decentralized Marketplace/Commerce
coinloan.io,,CLT,Financial Services
canya.io,,CAN,Drugs & Healthcare
homni-tech.com,,HOMNI,"Entertainment,Internet and Infrastructure,Communications/Mobile"
firsttokenasia.com,,FTA,Cryptocurrency
about.ethlend.io,,LEND,Financial Services
ico.relest.io,,REST,Real Estate
linkercoin.com,,LNC,HR and Job Market
realisto.io,,REA,Real Estate
ankorus.org,,ANK,Investment and Trading
cannasos.com,,PRC,Financial Services
sermly.com,,SLY,Identity Protection/Privacy/Reputation
fitvitalik.io,,FVIT,Drugs & Healthcare
viso.global,,VITO,Financial Services
consolo.network,,CSL,Network
blockcdn.org,,BCDN,Investment and Trading
rocketpool.net,,RPL,Mining and Staking
stex.exchange,,STE,Cryptocurrency
covesting.io,,COV,Data
tse.bitnation.co,,PAT,DAOs
tcash.io,,TCash,Decentralized Exchanges
theholycoin.com,,HOLY,Platform
roboadvisorcoin.com,,RAC,"Gambling,DAOs"
pureairindustries.com,,PURE,Environmental Preservation/Ecology
ito.investy.io,,IVC,Investment and Trading
heardbeats.com,,HBT,Entertainment
token.gimmer.net,,GMR,Investment and Trading
en.icobasis.io,,BSS,Asset Tokenization
fueldapp.io,,FUEL,"Energy and Utilities,Software Development"
crowdforangels.com,,ANGEL,AI
pikciochain.com,,PKC,Data
mobius.network,,MOBI,Communications/Mobile
modulum.io,,MDL,Professional Services
flowfeed.com,,FFT,Marketing & Social Influencer
fundaria.com,,RI,Professional Services
cm.5miles.com,,CMT,DAOs
swissborg.com,,CHSB,Financial Services
ehhico.com,,eHH,Decentralized Marketplace/Commerce
sportyco.io,,SPF,Sports
dropdeck.io,,DDD,Financial Services
byte.bet,,BBET,Gambling
virtonomics.io,,VIC,"Education,Platform,Cryptocurrency,Investment and Trading,Software Development"
styras.io,,STY,"Network,Communications/Mobile"
nousplatform.com,,NOUS,Smart Contract
crowdwiz.io,,WIZ,Investment and Trading
coin.injii.com,,IAC,Social Media
fundrequest.io,,FND,"DAOs,Financial Services"
aidcoin.co,,AID,Decentralized Exchanges
smschain.org,,SMSTO,"Platform,Internet and Infrastructure"
propthereum.io,,PTC,Real Estate
bmcoin.io,,BMC,Data
herby.money,,HBY,Prediction Market Platforms
robomed.io,,RBM,Drugs & Healthcare
adtfinance.fr,,ADT,Ad Tech
usrv.io,,UST,Transportation/Logistics/Supply Chain
os.university,,EDU,Education
pindex.uci.global,,PDI,Events & Entertainment
enet.network,,ENET,Network
yobank.io,,YOB,Financial Services
cointedtoken.com,,CTD,Financial Services
crymix.jp,,CRX,Digital Asset
aditus.net,,ADI,Decentralized Marketplace/Commerce
